description,url
Youtube1,https://www.youtube.com/watch?v=Bc-5Lysaj-E
Youtube2,https://www.youtube.com/watch?v=3CLYYu4dsaQ
Youtube3,https://www.youtube.com/watch?v=H-kJWekS8Nk
Youtube4,https://www.youtube.com/watch?v=et3WLTwNxbg
Youtube5,https://www.youtube.com/watch?v=K7QC6SJIoWY
Youtube6,https://www.youtube.com/watch?v=5h7TkXp6FzQ
Youtube7,https://www.youtube.com/watch?v=ZX2mjf9dFH8
Youtube8,https://www.youtube.com/watch?v=V3LdzXJe1uI
Youtube9,https://www.youtube.com/watch?v=IteE1-WSWzA
Youtube10,https://www.youtube.com/watch?v=VvWHC9s-jqg
Youtube11,https://www.youtube.com/watch?v=pv3A5R0eOtU
Youtube12,https://www.youtube.com/watch?v=EuAeyGtjiog
Youtube13,https://www.youtube.com/watch?v=2xG1PLev_4c
Youtube14,https://www.youtube.com/watch?v=Vx5Y4QsvXX8
Youtube15,https://www.youtube.com/watch?v=V-GlcjBcBm4
Youtube16,https://www.youtube.com/watch?v=36Yrw0nh5tM
Youtube17,https://www.youtube.com/watch?v=N2tPIsIrTpc
Youtube18,https://www.youtube.com/watch?v=Y6M8lJgX6qk
Youtube19,https://www.youtube.com/watch?v=nQOinVC5j9g
Youtube20,https://www.youtube.com/watch?v=HIjU86EYFBw
Youtube21,https://www.youtube.com/watch?v=gzH_mcRYEYE
Youtube22,https://www.youtube.com/watch?v=dmiXyQoecUs
Youtube23,https://www.youtube.com/watch?v=luNMZcGGEuA
Youtube24,https://www.youtube.com/watch?v=BtuPYqrKZOo
Youtube25,https://www.youtube.com/watch?v=cvHbUhUdUOQ
Youtube26,https://www.youtube.com/watch?v=RI6bwjaIfSM
Youtube27,https://www.youtube.com/watch?v=ERdTRyFXUMg
Youtube28,https://www.youtube.com/watch?v=r4sR2L5xiNU
Youtube29,https://www.youtube.com/watch?v=KEZbYY7GmYg
Youtube30,https://www.youtube.com/watch?v=HXRbbBs8ZLE
Youtube31,https://www.youtube.com/watch?v=TFuQpxShJS4
Youtube32,https://www.youtube.com/watch?v=Pnk5UDD7-LM
Youtube33,https://www.youtube.com/watch?v=-Wcz7WHEuu0
Youtube34,https://www.youtube.com/watch?v=iqtK-K3zw6Q
Youtube35,https://www.youtube.com/watch?v=YLCWSmMp5Vw
Youtube36,https://www.youtube.com/watch?v=e8YsNDHnpDk
Youtube37,https://www.youtube.com/watch?v=bMq50tom1QQ
Youtube38,https://www.youtube.com/watch?v=dumS1htOkF0
Youtube39,https://www.youtube.com/watch?v=MIx-sLI5QU8
Youtube40,https://www.youtube.com/watch?v=aBVC8L_fhAc
Youtube41,https://www.youtube.com/watch?v=DGHKsMPHw28
Youtube42,https://www.youtube.com/watch?v=2r3VF5AHR5k
Youtube43,https://www.youtube.com/watch?v=6XFmQ2Uhxio
Youtube44,https://www.youtube.com/watch?v=yIsl1hfrI6g
Youtube45,https://www.youtube.com/watch?v=x-cZiCZwvPc
Youtube46,https://www.youtube.com/watch?v=iktN0zV8L-8
Youtube47,https://www.youtube.com/watch?v=mFkc8wu_rms
Youtube48,https://www.youtube.com/watch?v=GVN4TfuoNLA
Youtube49,https://www.youtube.com/watch?v=L-071uPXSAQ
Youtube50,https://www.youtube.com/watch?v=Y_mK5qcUeTw
Youtube51,https://www.youtube.com/watch?v=VJb26NBf3mw
Youtube52,https://www.youtube.com/watch?v=SXhwTtY99vc
Youtube53,https://www.youtube.com/watch?v=yngJ_VWuW64
Youtube54,https://www.youtube.com/watch?v=hQovDgfPS2I
Youtube55,https://www.youtube.com/watch?v=J0grLdqYWO8
Youtube56,https://www.youtube.com/watch?v=SSuCyZlksrI
Youtube57,https://www.youtube.com/watch?v=eFEufsX1ueo
Youtube58,https://www.youtube.com/watch?v=qfdLOLswPkI
Youtube59,https://www.youtube.com/watch?v=E_E28B6tpxo
Youtube60,https://www.youtube.com/watch?v=tfWQYMqHMmk
Youtube61,https://www.youtube.com/watch?v=8Qpk7_K-eoc
Youtube62,https://www.youtube.com/watch?v=xEwXyHJHsSk
Youtube63,https://www.youtube.com/watch?v=plGaReUTIt8
Youtube64,https://www.youtube.com/watch?v=-2qu_kz61p4
Youtube65,https://www.youtube.com/watch?v=ERX1OnEmwUk
Youtube66,https://www.youtube.com/watch?v=oomdLUezJVo
Youtube67,https://www.youtube.com/watch?v=hKXvCfXQQZg
Youtube68,https://www.youtube.com/watch?v=QsMtomt6ZFU
Youtube69,https://www.youtube.com/watch?v=-0D-9S_fzeA
Youtube70,https://www.youtube.com/watch?v=WUcG7jJT2cU
Youtube71,https://www.youtube.com/watch?v=mYJ8EZOfAPo
Youtube72,https://www.youtube.com/watch?v=jUmD5MbXDKk
Youtube73,https://www.youtube.com/watch?v=nze7ZDcVjuY
Youtube74,https://www.youtube.com/watch?v=kh5Pq-5qoJk
Youtube75,https://www.youtube.com/watch?v=KigLH_U04oA
Youtube76,https://www.youtube.com/watch?v=ZoDb8PTDk74
Youtube77,https://www.youtube.com/watch?v=v5uNjcuHnys
Youtube78,https://www.youtube.com/watch?v=56r4JjB1FC8
Youtube79,https://www.youtube.com/watch?v=NmLecsO1S68
Youtube80,https://www.youtube.com/watch?v=wCCePEPqjR0
Youtube81,https://www.youtube.com/watch?v=E-v_3LAYUAk
Youtube82,https://www.youtube.com/watch?v=z3n4uhZw4U0
Youtube83,https://www.youtube.com/watch?v=5vzfcIoJqcE
Youtube84,https://www.youtube.com/watch?v=FM-hagqHSjs
Youtube85,https://www.youtube.com/watch?v=yqmvvX7u3l0
Youtube86,https://www.youtube.com/watch?v=zv-wAmCf0ME
Youtube87,https://www.youtube.com/watch?v=aZmSu0wnOMM
Youtube88,https://www.youtube.com/watch?v=FQjqXzcfdGE
Youtube89,https://www.youtube.com/watch?v=24MWXKGpLx0
Youtube90,https://www.youtube.com/watch?v=SQKBU_WHSJg
Youtube91,https://www.youtube.com/watch?v=pvvkGO1RnvY
Youtube92,https://www.youtube.com/watch?v=LRkxl8_rxuk
Youtube93,https://www.youtube.com/watch?v=5pTAnG_K3yQ
Youtube94,https://www.youtube.com/watch?v=NEOUdEKpvLE
Youtube95,https://www.youtube.com/watch?v=6XKGTjziE7k
Youtube96,https://www.youtube.com/watch?v=G_o6UMjFCBw
Youtube97,https://www.youtube.com/watch?v=drw-_7W50iA
Youtube98,https://www.youtube.com/watch?v=aulAM8iH7lc
Youtube99,https://www.youtube.com/watch?v=c9fKu5LcZ7E
Youtube100,https://www.youtube.com/watch?v=e6eSJyPI3jU
Youtube101,https://www.youtube.com/watch?v=Jjb6eE104mA
Youtube102,https://www.youtube.com/watch?v=CeL9Pemopx4
Youtube103,https://www.youtube.com/watch?v=sp85nm9C8WM
Youtube104,https://www.youtube.com/watch?v=qVPJLSQtEU8
Youtube105,https://www.youtube.com/watch?v=A41tMuIsnMs
Youtube106,https://www.youtube.com/watch?v=Ol4rGV21AY4
Youtube107,https://www.youtube.com/watch?v=HDv8enrsRs8
Youtube108,https://www.youtube.com/watch?v=LYp9_ORZgaU
Youtube109,https://www.youtube.com/watch?v=08V5_1mTruw
Youtube110,https://www.youtube.com/watch?v=BdQ0selspX4
Youtube111,https://www.youtube.com/watch?v=0SqJjoTp_mY
